ref_ceh,dam,n_months,KGE_monthly,NSE_monthly,pbias_pct,mean_annual_obs_hm3,mean_annual_sim_hm3
5050,COLOMERA,364,0.872,0.781,-6.8,23.5,21.9
5139,ARENOSO,164,0.544,0.729,-20.5,61.8,49.1
5062,GUADALMELLATO,720,0.454,0.619,-32.2,154.5,104.7
5018,GUADALMENA,619,0.263,0.414,-38.6,122.2,75.0
5012,BEMBEZAR,720,0.229,0.461,-48.3,234.0,121.0
5001,TRANCO DE BEAS,720,0.184,-0.059,-10.5,198.5,177.8
5039,QUIEBRAJANO,534,-0.224,0.15,119.2,12.4,27.2
5060,SAN CLEMENTE,336,-0.26,-0.824,-90.6,31.7,3.0
