date,I_raw,I_corr,E_hm3,reserva,n_valid,ref_ceh,dam
1958-10-01,3.6476480000000002,3.929684302168473,0.2913512538093369,55.74193548387097,30,5001,TRANCO DE BEAS
1958-11-01,2.0697920000000005,2.2307664381864085,0.16097443818640814,57.0,30,5001,TRANCO DE BEAS
1958-12-01,57.50544,57.64080587653884,0.13536587653884172,77.90322580645162,31,5001,TRANCO DE BEAS
1959-01-01,53.0864,53.29001033105252,0.20361033105252407,142.29032258064515,31,5001,TRANCO DE BEAS
1959-02-01,16.0,16.33502586062943,0.33502586062942896,175.03571428571428,28,5001,TRANCO DE BEAS
1959-03-01,53.0,53.649003774302095,0.6490037743020975,204.38709677419354,31,5001,TRANCO DE BEAS
1959-04-01,18.0,18.874006534537376,0.8740065345373756,244.7,30,5001,TRANCO DE BEAS
1959-05-01,41.059616,42.48292989511984,1.4233138951198359,274.6774193548387,31,5001,TRANCO DE BEAS
1959-06-01,17.626016,19.65074704078739,2.024731040787391,305.03333333333336,30,5001,TRANCO DE BEAS
1959-07-01,4.546624000000002,6.910863292907142,2.36423929290714,287.51612903225805,31,5001,TRANCO DE BEAS
1959-08-01,8.889760000000004,10.81561081561821,1.9258508156182068,239.7741935483871,31,5001,TRANCO DE BEAS
1959-09-01,6.069984000000001,7.239853495586564,1.1698694955865632,203.53333333333333,30,5001,TRANCO DE BEAS
1959-10-01,7.29376,7.979530178915947,0.6857701789159478,201.29032258064515,31,5001,TRANCO DE BEAS
1959-11-01,17.3824,17.76852273419511,0.38612273419510923,211.76666666666668,30,5001,TRANCO DE BEAS
1959-12-01,95.19872,95.51301320370683,0.3142932037068307,272.3225806451613,31,5001,TRANCO DE BEAS
1960-01-01,42.69344,43.055199948545415,0.36175994854541343,335.9032258064516,31,5001,TRANCO DE BEAS
1960-02-01,130.95904000000002,131.56655582927542,0.607515829275402,405.9310344827586,29,5001,TRANCO DE BEAS
1960-03-01,125.81472000000001,126.97649561010482,1.1617756101048102,489.03225806451616,31,5001,TRANCO DE BEAS
1960-04-01,53.39584,54.79937998448071,1.4035399844807046,497.93333333333334,30,5001,TRANCO DE BEAS
1960-05-01,18.148480000000003,20.235636767401846,2.0871567674018454,487.5483870967742,31,5001,TRANCO DE BEAS
1960-06-01,8.15584,10.944981446173355,2.7891414461733546,493.1666666666667,30,5001,TRANCO DE BEAS
1960-07-01,4.1942400000000015,7.490218041522902,3.2959780415229,473.19354838709677,31,5001,TRANCO DE BEAS
1960-08-01,7.860800000000005,10.636851762960898,2.7760517629608934,414.8709677419355,31,5001,TRANCO DE BEAS
1960-09-01,8.547840000000003,10.267429842699933,1.7195898426999299,362.7,30,5001,TRANCO DE BEAS
1960-10-01,16.065920000000002,17.050641735295905,0.9847217352959022,346.35483870967744,31,5001,TRANCO DE BEAS
1960-11-01,33.00032,33.55391007140874,0.5535900714087355,363.53333333333336,30,5001,TRANCO DE BEAS
1960-12-01,74.48256,74.89677997005222,0.41421997005221645,411.64516129032256,31,5001,TRANCO DE BEAS
1961-01-01,52.99264,53.42569747063376,0.43305747063375366,439.9032258064516,31,5001,TRANCO DE BEAS
1961-02-01,30.68928,31.295004367441255,0.6057243674412541,425.4642857142857,28,5001,TRANCO DE BEAS
1961-03-01,11.7456,12.811778216139878,1.0661782161398776,429.8709677419355,31,5001,TRANCO DE BEAS
