indroea,p_mean,pet_mean,aridity,frac_snow,p_seasonality,elev_mean,forest_frac,slope_mean,area_km2
dam_5001,1.891,2.798,1.479,0.038,1.231,1184.27,0.773,15.273,564.501
dam_5012,1.533,3.231,2.108,0.0,1.422,499.08,0.475,7.006,1708.329
dam_5018,1.476,3.027,2.051,0.013,1.238,909.935,0.433,6.471,1238.924
dam_5039,1.713,3.016,1.761,0.011,1.291,1203.767,0.73,16.09,102.736
dam_5050,1.579,2.997,1.899,0.012,1.36,1077.413,0.735,9.423,247.894
dam_5060,1.573,2.752,1.749,0.061,1.124,1375.976,0.535,10.355,165.676
dam_5062,1.605,3.225,2.009,0.001,1.352,594.981,0.489,6.293,1198.549
dam_5139,1.507,3.182,2.112,0.003,1.262,541.582,0.669,6.622,408.049
