indroea,demarc,area_km2,elev_mean,slope_mean,clay_pct,sand_pct,forest_frac,crop_frac,p_mean,pet_mean,aridity,frac_snow,p_seasonality,high_prec_freq,low_prec_freq,wet_day_frac,runoff_coef,qc_flag
9055,ebro,2498.4,1075.86,4.178,23.46,40.637,0.154,0.414,1.428,2.724,1.907,0.042,0.834,18.73,261.0,0.285,0.069,regulated_low
9057,ebro,207.3,989.228,4.525,24.99,37.495,0.1,0.507,1.35,2.722,2.017,0.022,0.842,18.84,264.5,0.276,0.06,regulated_low
9058,ebro,207.7,1151.162,5.511,22.877,41.693,0.086,0.187,1.512,2.682,1.774,0.035,0.946,19.64,260.2,0.288,0.189,clean
9059,ebro,1912.4,1153.404,13.928,23.202,38.177,0.593,0.049,3.049,2.31,0.757,0.088,0.444,15.97,206.5,0.435,0.427,clean
9062,ebro,163.0,1294.281,18.344,20.554,41.141,0.682,0.0,4.051,2.097,0.518,0.134,0.463,12.79,186.3,0.49,0.537,clean
9063,ebro,506.6,1086.977,15.416,22.923,38.522,0.795,0.011,3.864,2.145,0.555,0.091,0.468,13.32,189.0,0.483,0.442,clean
9064,ebro,397.3,963.703,12.307,24.698,36.888,0.759,0.027,3.608,2.172,0.602,0.063,0.489,14.35,195.9,0.464,0.53,clean
9065,ebro,1584.3,857.236,11.607,25.252,35.867,0.655,0.11,3.241,2.228,0.688,0.038,0.521,14.98,200.7,0.45,0.531,clean
9066,ebro,222.9,1102.533,15.443,25.139,35.964,0.735,0.0,3.837,2.101,0.548,0.054,0.413,13.73,186.7,0.489,1.034,karst_high
9067,ebro,236.0,701.9,10.172,27.264,32.169,0.739,0.038,3.245,2.204,0.679,0.018,0.508,14.58,197.0,0.461,0.748,clean
9071,ebro,884.7,741.867,8.36,27.849,31.616,0.601,0.254,2.179,2.355,1.081,0.026,0.808,15.69,224.1,0.386,0.521,clean
9073,ebro,269.0,719.139,8.772,27.433,32.306,0.363,0.243,2.294,2.524,1.1,0.018,0.621,19.08,241.1,0.34,0.204,clean
9074,ebro,1383.2,655.515,5.913,28.94,30.174,0.421,0.334,2.502,2.295,0.918,0.027,0.711,14.53,208.2,0.43,0.305,clean
9075,ebro,307.7,709.035,6.591,27.382,32.77,0.384,0.358,2.15,2.352,1.094,0.035,0.773,15.56,221.1,0.395,0.419,clean
9078,ebro,46.8,762.156,9.214,26.746,33.553,0.458,0.169,1.976,2.488,1.259,0.014,0.771,17.98,245.6,0.328,0.406,clean
9079,ebro,197.9,745.825,9.841,27.05,32.832,0.574,0.227,2.907,2.245,0.772,0.028,0.574,15.79,209.4,0.427,0.686,clean
9080,ebro,47.0,1687.616,18.985,19.512,40.117,0.318,0.0,4.608,1.933,0.42,0.215,0.401,12.0,177.9,0.513,0.681,clean
9086,ebro,74.3,690.199,6.757,27.988,30.754,0.343,0.449,1.96,2.499,1.275,0.012,0.789,17.92,244.5,0.331,0.208,clean
9093,ebro,1065.1,845.847,5.443,27.548,32.334,0.244,0.463,2.003,2.345,1.171,0.039,0.774,14.74,222.1,0.392,0.172,clean
9100,ebro,141.2,1042.148,7.604,24.834,37.674,0.352,0.084,1.567,2.707,1.728,0.038,0.757,18.9,262.5,0.281,0.061,regulated_low
9101,ebro,2194.7,1103.121,14.477,22.417,39.165,0.59,0.091,3.398,2.244,0.66,0.088,0.512,13.69,194.1,0.469,0.275,clean
9110,ebro,48.8,966.402,12.691,26.175,36.18,0.898,0.0,1.814,2.659,1.466,0.018,0.714,19.69,267.1,0.269,0.127,clean
9111,ebro,2392.3,1669.895,17.529,18.63,45.785,0.568,0.017,2.672,2.013,0.754,0.2,0.705,13.81,201.9,0.447,0.367,clean
9113,ebro,57.7,938.617,12.348,26.334,36.042,0.885,0.003,1.811,2.662,1.47,0.02,0.716,19.71,266.8,0.27,0.004,regulated_low
9122,ebro,125.5,1042.651,6.409,23.16,40.595,0.199,0.183,1.563,2.739,1.752,0.029,0.744,18.68,257.3,0.296,0.048,regulated_low
9123,ebro,1399.6,1271.844,14.523,22.229,39.239,0.539,0.055,3.254,2.236,0.687,0.127,0.435,15.19,198.6,0.456,0.507,clean
9127,ebro,595.6,1102.269,7.599,23.609,39.514,0.245,0.145,1.553,2.678,1.725,0.044,0.778,18.82,257.6,0.295,0.084,clean
9139,ebro,326.5,1111.176,10.146,22.938,40.163,0.352,0.079,1.926,2.423,1.258,0.047,0.723,17.56,236.5,0.353,0.147,clean
9142,ebro,111.9,1485.318,11.099,20.35,42.469,0.772,0.0,2.371,2.205,0.93,0.132,0.724,14.74,214.0,0.414,0.541,clean
9147,ebro,464.7,949.693,3.299,24.446,39.338,0.149,0.556,1.343,2.735,2.037,0.021,0.865,19.32,267.0,0.269,0.036,regulated_low
9148,ebro,68.9,1036.471,15.795,26.091,35.684,0.702,0.013,2.29,2.399,1.048,0.051,0.801,19.69,244.0,0.332,0.235,clean
9150,ebro,28.1,743.578,9.456,27.63,32.69,0.478,0.202,2.458,2.326,0.946,0.026,0.717,16.34,225.2,0.384,0.264,clean
9153,ebro,116.2,707.424,10.713,27.229,34.705,0.667,0.117,1.729,2.759,1.596,0.01,0.773,20.56,275.9,0.245,0.334,clean
