indroea,demarc,area_km2,elev_mean,slope_mean,clay_pct,sand_pct,forest_frac,crop_frac,p_mean,pet_mean,aridity,frac_snow,p_seasonality,high_prec_freq,low_prec_freq,wet_day_frac,runoff_coef,qc_flag
5020,guadalquivir,178.0,1969.779,21.253,18.281,48.252,0.259,0.0,1.851,2.514,1.358,0.116,1.081,21.53,261.5,0.284,0.43,clean
5024,guadalquivir,136.9,1088.519,11.246,27.047,36.442,0.586,0.025,1.594,3.016,1.892,0.012,1.227,23.23,270.8,0.259,0.169,clean
5025,guadalquivir,1243.0,906.007,6.58,25.888,38.381,0.442,0.208,1.477,3.029,2.05,0.012,1.242,21.68,269.8,0.261,0.171,clean
5028,guadalquivir,2667.8,829.973,7.685,27.104,36.108,0.626,0.11,1.568,3.068,1.956,0.01,1.312,21.74,267.5,0.268,0.192,clean
5029,guadalquivir,1108.8,810.542,10.154,28.461,34.389,0.649,0.055,1.734,3.156,1.82,0.003,1.278,23.76,270.5,0.26,0.161,clean
5038,guadalquivir,139.2,1415.966,13.404,20.876,44.562,0.52,0.0,1.783,2.793,1.566,0.049,1.044,22.21,264.7,0.275,0.268,clean
5041,guadalquivir,269.0,1069.045,9.675,28.856,34.35,0.729,0.053,1.574,3.0,1.906,0.012,1.358,23.21,273.7,0.251,0.09,clean
5042,guadalquivir,357.6,952.959,7.784,29.492,33.584,0.652,0.102,1.622,3.017,1.86,0.008,1.334,23.64,274.2,0.249,0.167,clean
5050,guadalquivir,159.3,2048.787,21.71,17.874,48.88,0.235,0.0,1.867,2.477,1.327,0.137,1.073,21.58,260.6,0.286,0.946,karst_high
5054,guadalquivir,89.1,1483.171,11.092,24.719,39.494,0.612,0.02,1.623,2.738,1.686,0.052,1.058,20.13,257.4,0.295,0.022,regulated_low
5057,guadalquivir,1286.1,120.628,1.716,32.168,33.013,0.165,0.61,1.428,3.504,2.454,0.0,1.63,24.29,295.1,0.192,0.275,clean
5076,guadalquivir,884.0,187.328,3.467,28.106,36.397,0.249,0.274,1.594,3.439,2.157,0.0,1.57,23.9,298.0,0.184,0.161,clean
5080,guadalquivir,2865.1,1050.472,8.263,26.232,37.263,0.486,0.144,1.599,3.002,1.877,0.01,1.251,22.6,271.3,0.257,0.127,clean
5081,guadalquivir,1640.5,677.515,8.217,29.373,33.106,0.711,0.021,1.752,3.213,1.834,0.001,1.419,24.06,274.0,0.25,0.14,clean
5082,guadalquivir,209.8,937.294,12.035,27.427,36.022,0.755,0.001,1.815,3.111,1.714,0.004,1.34,23.81,269.4,0.263,0.293,clean
5083,guadalquivir,779.8,963.161,12.637,27.756,35.28,0.712,0.004,1.74,3.082,1.771,0.005,1.255,23.68,269.0,0.264,0.17,clean
5084,guadalquivir,285.4,997.847,14.447,27.703,35.363,0.775,0.003,1.775,3.081,1.736,0.005,1.289,23.71,268.9,0.264,0.17,clean
5086,guadalquivir,41.2,2082.452,18.377,18.135,48.62,0.213,0.0,1.796,2.639,1.47,0.054,1.185,21.64,266.8,0.27,0.809,karst_high
5088,guadalquivir,101.3,1022.62,10.041,28.433,34.927,0.239,0.051,1.74,2.953,1.697,0.002,1.49,23.43,280.5,0.232,0.853,karst_high
5090,guadalquivir,595.0,234.684,4.311,26.464,38.712,0.304,0.123,1.617,3.413,2.111,0.0,1.568,23.9,297.3,0.186,0.183,clean
5091,guadalquivir,59.6,849.536,10.473,29.963,32.365,0.758,0.001,1.683,3.136,1.863,0.002,1.404,24.05,277.2,0.241,0.487,clean
5097,guadalquivir,308.9,553.029,7.224,30.093,32.285,0.714,0.02,1.632,3.22,1.974,0.001,1.489,23.89,283.1,0.225,0.261,clean
5104,guadalquivir,344.0,396.357,3.158,28.615,35.108,0.534,0.09,1.332,3.392,2.547,0.001,1.53,23.27,283.8,0.223,0.113,clean
